corpus_tag,case_label,n_tokens,hits_4gram,hits_2gram_only,hits_6gram_only,hits_multi_union_chunks,forced_chunks_4gram,forced_chunks_2gram,forced_chunks_6gram,high_prec_frac_4gram,high_prec_frac_2gram,high_prec_frac_6gram,needle_chunk_in_4gram,needle_chunk_in_union,needle_chunk_id
real_captured,real_-home-peppi-Dev-luce,180,6,13,4,1,1,1,1,1.0,1.0,1.0,-1,-1,-1
real_captured,real_-home-peppi-Dev-luce,2133,16,16,16,5,5,5,5,0.6875,1.0,1.0,-1,-1,-1
real_captured,real_-home-peppi-Dev-luce,2285,16,16,16,5,5,5,5,0.0,0.0,0.0,-1,-1,-1
real_captured,real_-home-peppi-Dev-luce,2410,0,13,0,5,0,5,0,0.0,1.0,0.0,-1,-1,-1
real_captured,real_-home-peppi-Dev-luce,2542,16,16,16,5,5,5,5,0.0625,0.5625,0.0,-1,-1,-1
real_captured,real_-home-peppi-Dev-luce,2645,15,16,7,6,4,6,4,1.0,0.6875,1.0,-1,-1,-1
real_captured,real_-home-peppi-Dev-luce,2783,14,16,4,6,6,4,3,1.0,0.5,1.0,-1,-1,-1
real_captured,real_-home-peppi-Dev-luce,3239,5,16,0,7,4,7,0,1.0,0.1875,0.0,-1,-1,-1
real_captured,real_-home-peppi-Dev-luce,3409,16,16,16,7,7,7,5,0.75,0.25,1.0,-1,-1,-1
real_captured,real_-home-peppi-Dev-luce,3488,2,16,0,7,5,7,0,1.0,0.25,0.0,-1,-1,-1
real_captured,real_-home-peppi-Dev-luce,3549,4,16,0,7,5,7,0,1.0,0.3125,0.0,-1,-1,-1
real_captured,real_-home-peppi-Dev-luce,3622,16,16,4,6,6,6,4,1.0,0.3125,1.0,-1,-1,-1
real_captured,real_-home-peppi-Dev-luce,3717,16,16,16,8,6,8,6,0.0,0.0,0.0,-1,-1,-1
real_captured,real_-home-peppi-Dev-luce,3813,16,16,16,8,6,8,6,0.0,0.0,0.0,-1,-1,-1
real_captured,real_-home-peppi-Dev-luce,3901,16,16,16,8,6,8,6,0.0,0.0,0.0,-1,-1,-1
real_captured,real_-home-peppi-Dev-luce,4008,16,16,16,8,6,8,6,0.0,0.1875,0.0,-1,-1,-1
real_captured,real_-home-peppi-Dev-luce,4101,16,16,16,9,7,9,7,0.0625,0.0625,0.0625,-1,-1,-1
real_captured,real_-home-peppi-Dev-luce,4208,16,16,16,6,6,4,5,0.6875,0.625,0.375,-1,-1,-1
real_captured,real_-home-peppi-Dev-luce,4299,16,16,16,7,7,7,7,0.0,0.0,0.0,-1,-1,-1
real_captured,real_-home-peppi-Dev-luce,4390,16,16,16,5,5,5,5,0.0,0.0,0.0,-1,-1,-1
real_captured,real_-home-peppi-Dev-luce,4489,16,16,16,7,7,7,5,0.125,0.0625,1.0,-1,-1,-1
real_captured,real_-home-peppi-Dev-luce,4583,16,16,16,5,5,5,5,0.0,0.0625,0.0,-1,-1,-1
real_captured,real_-home-peppi-Dev-luce,4694,16,16,16,6,6,6,6,0.0,0.0,0.0,-1,-1,-1
real_captured,real_-home-peppi-Dev-luce,4807,16,16,16,8,6,8,6,0.0,0.6875,0.0,-1,-1,-1
real_captured,real_-home-peppi-Dev-luce,4903,16,16,16,6,6,6,6,0.0,0.125,0.5625,-1,-1,-1
real_captured,real_-home-peppi-Dev-luce,5066,16,16,16,10,6,10,6,0.0625,0.125,0.0,-1,-1,-1
real_captured,real_-home-peppi-Dev-luce,5141,16,16,16,11,7,11,7,0.25,0.3125,0.25,-1,-1,-1
real_captured,real_-home-peppi-Dev-luce,5234,16,16,16,10,6,10,6,0.6875,0.875,0.625,-1,-1,-1
real_captured,real_-home-peppi-Dev-luce,5309,16,16,16,4,4,4,4,1.0,1.0,1.0,-1,-1,-1
real_captured,real_-home-peppi-Dev-luce,5392,16,16,16,7,4,7,4,1.0,0.75,1.0,-1,-1,-1
synthetic_fwe,fwe/8192/case_0000.raw,8185,16,16,16,16,11,11,12,0.5625,0.125,0.375,-1,-1,-1
synthetic_fwe,fwe/8192/case_0001.raw,8169,16,16,16,16,15,12,16,0.875,0.25,0.375,-1,-1,-1
synthetic_fwe,fwe/8192/case_0002.raw,8192,16,16,16,16,15,15,16,0.875,0.4375,0.75,-1,-1,-1
synthetic_fwe,fwe/8192/case_0003.raw,8192,16,16,16,16,16,16,15,0.0625,0.0625,0.0,-1,-1,-1
synthetic_fwe,fwe/8192/case_0004.raw,8158,16,16,16,16,13,16,15,0.1875,0.0,0.0,-1,-1,-1
synthetic_niah_single,niah_single/1024/case0,1020,5,7,3,2,2,2,2,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/1024/case1,1020,5,7,3,2,2,2,2,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/1024/case2,958,4,6,2,2,2,2,2,1.0,1.0,1.0,1,1,0
synthetic_niah_single,niah_single/1024/case3,1024,3,5,1,2,2,2,2,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/1024/case4,958,4,6,2,2,2,2,2,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/1024/case0,1019,5,7,3,2,2,2,2,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/1024/case1,959,4,6,2,2,2,2,2,1.0,1.0,1.0,1,1,0
synthetic_niah_single,niah_single/1024/case2,958,4,6,2,2,2,2,2,1.0,1.0,1.0,1,1,0
synthetic_niah_single,niah_single/1024/case3,957,4,6,2,2,2,2,2,1.0,1.0,1.0,1,1,0
synthetic_niah_single,niah_single/1024/case4,1020,5,7,3,2,2,2,2,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/1024/case0,1020,5,7,3,2,2,2,2,1.0,1.0,1.0,1,1,0
synthetic_niah_single,niah_single/1024/case1,1019,4,6,2,2,2,2,2,1.0,1.0,1.0,1,1,0
synthetic_niah_single,niah_single/1024/case2,1024,3,5,1,2,2,2,2,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/1024/case3,1022,6,8,4,2,2,2,2,1.0,1.0,1.0,1,1,0
synthetic_niah_single,niah_single/1024/case4,958,4,6,2,2,2,2,2,1.0,1.0,1.0,1,1,0
synthetic_niah_single,niah_single/1024/case0,1022,6,8,4,2,2,2,2,1.0,1.0,1.0,1,1,0
synthetic_niah_single,niah_single/1024/case1,958,4,6,2,2,2,2,2,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/1024/case2,958,4,6,2,2,2,2,2,1.0,1.0,1.0,1,1,0
synthetic_niah_single,niah_single/1024/case3,1022,6,8,4,2,2,2,2,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/1024/case4,1020,5,7,3,2,2,2,2,1.0,1.0,1.0,1,1,0
synthetic_niah_single,niah_single/1024/case0,1020,5,7,3,2,2,2,2,1.0,1.0,1.0,1,1,0
synthetic_niah_single,niah_single/1024/case1,1022,6,8,4,2,2,2,2,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/1024/case2,959,4,6,2,2,2,2,2,1.0,1.0,1.0,1,1,0
synthetic_niah_single,niah_single/1024/case3,1020,5,7,3,2,2,2,2,1.0,1.0,1.0,1,1,0
synthetic_niah_single,niah_single/1024/case4,1020,5,7,3,2,2,2,2,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/1024/case0,1020,5,7,3,2,2,2,2,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/1024/case1,958,4,6,2,2,2,2,2,1.0,1.0,1.0,1,1,0
synthetic_niah_single,niah_single/1024/case2,958,4,6,2,2,2,2,2,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/1024/case3,1020,5,7,3,2,2,2,2,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/1024/case4,958,4,6,2,2,2,2,2,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/1024/case0,1020,5,7,3,2,2,2,2,1.0,1.0,1.0,1,1,0
synthetic_niah_single,niah_single/1024/case1,958,4,6,2,2,2,2,2,1.0,1.0,1.0,1,1,0
synthetic_niah_single,niah_single/1024/case2,958,4,6,2,2,2,2,2,1.0,1.0,1.0,1,1,0
synthetic_niah_single,niah_single/1024/case3,1019,5,7,3,2,2,2,2,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/1024/case4,1022,6,8,4,2,2,2,2,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/1024/case0,1020,5,7,3,2,2,2,2,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/1024/case1,1021,5,7,3,2,2,2,2,1.0,1.0,1.0,1,1,0
synthetic_niah_single,niah_single/1024/case2,1019,4,6,2,2,2,2,2,1.0,1.0,1.0,1,1,0
synthetic_niah_single,niah_single/1024/case3,1021,5,7,3,2,2,2,2,1.0,1.0,1.0,1,1,0
synthetic_niah_single,niah_single/1024/case4,1019,4,6,2,2,2,2,2,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/16384/case0,16378,4,6,2,5,5,5,5,1.0,1.0,1.0,1,1,23
synthetic_niah_single,niah_single/16384/case1,16378,4,6,2,5,5,5,5,1.0,1.0,1.0,1,1,19
synthetic_niah_single,niah_single/16384/case2,16380,5,7,3,5,5,5,5,1.0,1.0,1.0,1,1,16
synthetic_niah_single,niah_single/16384/case3,16380,5,7,3,5,5,5,5,1.0,1.0,1.0,1,1,23
synthetic_niah_single,niah_single/16384/case4,16380,5,7,3,5,5,5,5,1.0,1.0,1.0,1,1,19
synthetic_niah_single,niah_single/2048/case0,2043,5,7,3,4,4,4,4,1.0,1.0,1.0,1,1,2
synthetic_niah_single,niah_single/2048/case1,2046,6,8,4,4,4,4,4,1.0,1.0,1.0,1,1,2
synthetic_niah_single,niah_single/2048/case2,2044,5,7,3,4,4,4,4,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/2048/case3,2042,4,6,2,4,4,4,4,1.0,1.0,1.0,1,1,2
synthetic_niah_single,niah_single/2048/case4,2045,5,7,3,4,4,4,4,1.0,1.0,1.0,1,1,2
synthetic_niah_single,niah_single/2048/case0,2043,4,6,2,4,4,4,4,1.0,1.0,1.0,1,1,2
synthetic_niah_single,niah_single/2048/case1,2045,5,7,3,4,4,4,4,1.0,1.0,1.0,1,1,2
synthetic_niah_single,niah_single/2048/case2,2044,5,7,3,4,4,4,4,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/2048/case3,2042,4,6,2,4,4,4,4,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/2048/case4,2044,5,7,3,4,4,4,4,1.0,1.0,1.0,1,1,2
synthetic_niah_single,niah_single/2048/case0,2044,5,7,3,4,4,4,4,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/2048/case1,2043,4,6,2,4,4,4,4,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/2048/case2,2044,5,7,3,4,4,4,4,1.0,1.0,1.0,1,1,2
synthetic_niah_single,niah_single/2048/case3,2044,5,7,3,4,4,4,4,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/2048/case4,2042,4,6,2,4,4,4,4,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/2048/case0,2044,5,7,3,4,4,4,4,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/2048/case1,2042,4,6,2,4,4,4,4,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/2048/case2,2042,4,6,2,4,4,4,4,1.0,1.0,1.0,1,1,2
synthetic_niah_single,niah_single/2048/case3,2044,5,7,3,4,4,4,4,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/2048/case4,2043,4,6,2,4,4,4,4,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/2048/case0,2044,5,7,3,4,4,4,4,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/2048/case1,2044,5,7,3,4,4,4,4,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/2048/case2,2042,4,6,2,4,4,4,4,1.0,1.0,1.0,1,1,2
synthetic_niah_single,niah_single/2048/case3,2044,5,7,3,4,4,4,4,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/2048/case4,2044,5,7,3,4,4,4,4,1.0,1.0,1.0,1,1,2
synthetic_niah_single,niah_single/2048/case0,2041,4,6,2,4,4,4,4,1.0,1.0,1.0,1,1,2
synthetic_niah_single,niah_single/2048/case1,2043,4,6,2,4,4,4,4,1.0,1.0,1.0,1,1,2
synthetic_niah_single,niah_single/2048/case2,2044,5,7,3,4,4,4,4,1.0,1.0,1.0,1,1,2
synthetic_niah_single,niah_single/2048/case3,2043,5,7,3,4,4,4,4,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/2048/case4,2044,5,7,3,4,4,4,4,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/2048/case0,2042,4,6,2,4,4,4,4,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/2048/case1,2044,5,7,3,4,4,4,4,1.0,1.0,1.0,1,1,2
synthetic_niah_single,niah_single/2048/case2,2042,4,6,2,4,4,4,4,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/2048/case3,2044,5,7,3,4,4,4,4,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/2048/case4,2045,5,7,3,4,4,4,4,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/2048/case0,2046,6,8,4,4,4,4,4,1.0,1.0,1.0,1,1,2
synthetic_niah_single,niah_single/2048/case1,2044,5,7,3,4,4,4,4,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/2048/case2,2043,4,6,2,4,4,4,4,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/2048/case3,2042,4,6,2,4,4,4,4,1.0,1.0,1.0,1,1,1
synthetic_niah_single,niah_single/2048/case4,2042,4,6,2,4,4,4,4,1.0,1.0,1.0,1,1,2
synthetic_niah_single,niah_single/32768/case0,32762,4,6,2,5,5,5,5,1.0,1.0,1.0,1,1,41
synthetic_niah_single,niah_single/32768/case1,32762,4,6,2,5,5,5,5,1.0,1.0,1.0,1,1,37
synthetic_niah_single,niah_single/32768/case2,32762,4,6,2,5,5,5,5,1.0,1.0,1.0,1,1,44
synthetic_niah_single,niah_single/32768/case3,32764,5,7,3,5,5,5,5,1.0,1.0,1.0,1,1,20
synthetic_niah_single,niah_single/32768/case4,32764,5,7,3,5,5,5,5,1.0,1.0,1.0,1,1,34
synthetic_niah_single,niah_single/4096/case0,4093,5,7,3,5,5,5,5,1.0,1.0,1.0,1,1,5
synthetic_niah_single,niah_single/4096/case1,4091,4,6,2,5,5,5,5,1.0,1.0,1.0,1,1,3
synthetic_niah_single,niah_single/4096/case2,4090,4,6,2,5,5,5,5,1.0,1.0,1.0,1,1,5
synthetic_niah_single,niah_single/4096/case3,4093,5,7,3,5,5,5,5,1.0,1.0,1.0,1,1,2
synthetic_niah_single,niah_single/4096/case4,4088,3,5,1,5,5,5,5,1.0,1.0,1.0,1,1,4
