model_layer,slab_budget,measured_bytes_per_position,projected_behavioral_cost,measured_kl_at_budget,mean_exact_fallback_routes
1,24,12902400,0.017749648259489506,,0.0
1,48,25804800,0.010311631209184954,,0.0
1,72,38707200,0.0060911082278610265,,0.0
1,96,51609600,0.00340471759271469,0.00340471759271469,0.0
1,120,64512000,0.0016876749551436223,,0.0
1,144,77414400,0.0006594141774403906,,0.0
1,168,90316800,0.000142140442776142,,0.0
1,192,103219200,1.3580042891725811e-33,,0.0
2,24,12902400,0.019646066431895027,,0.0
2,48,25804800,0.011887911527672103,,0.0
2,72,38707200,0.006991350367317951,,0.0
2,96,51609600,0.0038143955829838165,0.0038143955829838165,0.0
2,120,64512000,0.0018213551184220185,,0.0
2,144,77414400,0.0006736125701591393,,0.0
2,168,90316800,0.0001336752371670721,,0.0
2,192,103219200,1.1917118480712758e-33,,0.0
3,24,12902400,0.05788327552302424,,0.0
3,48,25804800,0.03453643969393948,,0.0
3,72,38707200,0.020018402593333384,,0.0
3,96,51609600,0.010710458365580051,0.010710458365580051,0.0
3,120,64512000,0.004977207771025416,,0.0
3,144,77414400,0.001771982987738219,,0.0
3,168,90316800,0.0003280389495413691,,0.0
3,192,103219200,2.576116218377346e-33,,0.0
4,24,12902400,0.04478458618071856,,0.0
4,48,25804800,0.02567783509137202,,0.0
4,72,38707200,0.014345072530603627,,0.0
4,96,51609600,0.007390944644862834,0.007390944644862834,0.0
4,120,64512000,0.0032913993333182406,,0.0
4,144,77414400,0.001117106030869776,,0.0
4,168,90316800,0.00019565722180696002,,0.0
4,192,103219200,2.8895072276562607e-33,,0.0
5,24,12902400,0.017307533659526423,,0.0
5,48,25804800,0.009907678082507409,,0.0
5,72,38707200,0.005575868852339712,,0.0
5,96,51609600,0.0029265444021680195,0.00292654440216802,0.0
5,120,64512000,0.0013501269213625892,,0.0
5,144,77414400,0.0004866646173661007,,0.0
5,168,90316800,9.471395916572825e-05,,0.0
5,192,103219200,7.5842814425161095e-34,,0.0
6,24,12902400,0.021899151848222782,,0.0
6,48,25804800,0.0120749033592327,,0.0
6,72,38707200,0.006887346165187516,,0.0
6,96,51609600,0.003720957087795002,0.003720957087795002,0.0
6,120,64512000,0.0017786537576818281,,0.0
6,144,77414400,0.000666447143328317,,0.0
6,168,90316800,0.0001355981235507384,,0.0
6,192,103219200,2.0769242083548455e-33,,0.0
7,24,12902400,0.08623491078094324,,0.0
7,48,25804800,0.04626890591612851,,0.0
7,72,38707200,0.025167677032149526,,0.0
7,96,51609600,0.012858213895398776,0.012858213895398776,0.0
7,120,64512000,0.005775631767369191,,0.0
7,144,77414400,0.002015569456865278,,0.0
7,168,90316800,0.0003758029343165878,,0.0
7,192,103219200,6.167859833079133e-33,,0.0
8,24,12902400,0.04649871852875947,,0.0
8,48,25804800,0.024464079022662316,,0.0
8,72,38707200,0.013164021113306298,,0.0
8,96,51609600,0.006753085803573277,0.006753085803573277,0.0
8,120,64512000,0.0030803091974057058,,0.0
8,144,77414400,0.0011068585191377062,,0.0
8,168,90316800,0.0002176403633911992,,0.0
8,192,103219200,3.206133136410926e-33,,0.0
9,24,12902400,0.012276196584505445,,0.0
9,48,25804800,0.006426340677605787,,0.0
9,72,38707200,0.003402296385820431,,0.0
9,96,51609600,0.001703998157278838,0.001703998157278838,0.0
9,120,64512000,0.0007567348150996286,,0.0
9,144,77414400,0.00026380187537365836,,0.0
9,168,90316800,4.968395356453821e-05,,0.0
9,192,103219200,1.1268706642003118e-33,,0.0
10,24,12902400,0.013229423522828208,,0.0
10,48,25804800,0.006830816160728573,,0.0
10,72,38707200,0.003635305016190602,,0.0
10,96,51609600,0.0018347041658425534,0.0018347041658425532,0.0
