model_layer,slab_budget,measured_bytes_per_position,projected_behavioral_cost,measured_kl_at_budget,mean_exact_fallback_routes
1,24,15120000,0.01924380581382139,,0.34375
1,48,28022400,0.010914816036682144,,0.34375
1,72,40924800,0.006291984871445018,,0.34375
1,96,53827200,0.0034047175927146905,0.00340471759271469,0.34375
1,120,66729600,0.0016030980065611566,,0.34375
1,144,79632000,0.0005680083756147788,,0.34375
1,168,92534400,9.419530915462282e-05,,0.34375
1,192,103219200,1.9712107586269033e-33,,0.34375
2,24,16934400,0.023847544602797432,,0.625
2,48,29836800,0.013620282843516667,,0.625
2,72,42739200,0.007553999020497442,,0.625
2,96,55641600,0.0038143955829838165,0.0038143955829838165,0.625
2,120,68544000,0.0016281570582575883,,0.625
2,144,81446400,0.0005043704552335798,,0.625
2,168,94147200,7.085567050472677e-05,,0.625
2,192,103219200,1.4538260357239025e-33,,0.625
3,24,19958400,0.07273455034181102,,1.09375
3,48,32860800,0.04097393729271779,,1.09375
3,72,45763200,0.022108808236882754,,1.09375
3,96,58665600,0.010710458365580051,0.010710458365580051,1.09375
3,120,71568000,0.004274391375723663,,1.09375
3,144,84268800,0.0011994547115761285,,1.09375
3,168,95760000,0.00015392392922509963,,1.09375
3,192,103219200,3.602408156042523e-33,,1.09375
4,24,28425600,0.05456874304878673,,2.40625
4,48,41328000,0.02997556931383703,,2.40625
4,72,54230400,0.015728803431744976,,2.40625
4,96,67132800,0.007390944644862835,0.007390944644862834,2.40625
4,120,80035200,0.002837163677244456,,2.40625
4,144,91929600,0.0007401581834622883,,2.40625
4,168,100598400,7.212056423378655e-05,,2.40625
4,192,103219200,4.1638337951323986e-33,,2.40625
5,24,17942400,0.020388105572155826,,0.78125
5,48,30844800,0.011110704610652888,,0.78125
5,72,43747200,0.005949077009258268,,0.78125
5,96,56649600,0.00292654440216802,0.00292654440216802,0.78125
5,120,69552000,0.001224801513111397,,0.78125
5,144,82454400,0.00036797416219660426,,0.78125
5,168,95356800,4.58333987171857e-05,,0.78125
5,192,103219200,1.0808685761063483e-33,,0.78125
6,24,17136000,0.025259386098478383,,0.65625
6,48,30038400,0.013300781463700652,,0.65625
6,72,42940800,0.0072543142466931975,,0.65625
6,96,55843200,0.003720957087795002,0.003720957087795002,0.65625
6,120,68745600,0.001666486556420638,,0.65625
