model_layer,kl_mean,kl_maximum,top1_agreement,maximum_absolute_logit_difference,behavioral_sensitivity,runtime_calibrated_experts,validation_fallback_routes_per_token,proxy_48,proxy_72,proxy_96,proxy_120,proxy_144,proxy_168,proxy_192,allocation_avg96,allocation_avg120,allocation_avg144
1,0.00340471759271469,0.00340471759271469,1,0.48702627420425415,0.04425669166215052,825,0.39518072289156625,0.4966137469416278,0.37705470286554016,0.27736462756156,0.19032268859097376,0.11328904007525578,0.04613443061870711,2.1104596705586595e-16,96,144,168
2,0.0038143955829838165,0.0038143955829838165,1,0.4769406318664551,0.04848234177329801,725,0.7903614457831325,0.5300309973354054,0.3947268489500631,0.28049238228490253,0.18325521976641776,0.10199597292614644,0.03822922656432512,1.731667183023123e-16,120,144,168
3,0.010710458365580051,0.010710458365580051,1,0.6493167877197266,0.14184368100194186,599,1.1253012048192772,0.5374633473860684,0.3948004780043136,0.27478880288366553,0.1735929749228521,0.09195745235037613,0.0329418567247327,1.5936445506133344e-16,144,168,168
4,0.007390944644862834,0.007390944644862834,1,0.5830631256103516,0.11427887560939408,577,1.074698795180723,0.5121542025878395,0.3709922720277526,0.2543120832174913,0.1575648049673762,0.08047839253528816,0.025121558483388814,1.908814447860284e-16,144,144,168
5,0.00292654440216802,0.00292654440216802,1,0.415236234664917,0.045458647249333614,718,0.8313253012048193,0.49438188244596337,0.3617566651122192,0.2537285309045942,0.16414384529361303,0.08997055688759213,0.03175285480673392,1.5419780495659068e-16,96,120,144
6,0.003720957087795002,0.003720957087795002,1,0.44004929065704346,0.07519652241647204,799,0.46987951807228917,0.42057136572197784,0.31059846432026744,0.22244797292189014,0.14886823147513478,0.086176445066984,0.03372383900320009,1.7736690267218866e-16,120,144,168
7,0.012858213895398776,0.012858213895398776,1,0.83097243309021,0.32801926834170353,680,1.0,0.41299593516249533,0.2913628132272081,0.19798880992578224,0.12366688484943186,0.06524264881957571,0.02227709709986335,1.8126121869790398e-16,144,168,168
8,0.006753085803573277,0.006753085803573277,1,0.6046106815338135,0.15489913674789912,726,0.8843373493975903,0.4298476642506327,0.3046397447958671,0.2087981446124069,0.13237606483856645,0.07123864581547401,0.02493446674220098,1.9568825700721794e-16,120,144,168
9,0.001703998157278838,0.001703998157278838,1,0.3475527763366699,0.038622612371308984,700,0.8795180722891566,0.4387528366497032,0.30920120332041034,0.21004567217997205,0.13210102606035465,0.07056662969730905,0.024591008478683344,2.0981602447163083e-16,72,120,144
10,0.0018347041658425532,0.0018347041658425532,1,0.429793119430542,0.04113957675177143,735,0.7518072289156627,0.4355560184955279,0.3085645887331836,0.21118015965409623,0.13405106064513203,0.07215841585616957,0.025212236323037464,1.6913836172840575e-16,96,120,144
11,0.010975149962746747,0.010975149962746747,1,0.8147172927856445,0.2778994634053873,728,0.9397590361445783,0.41966662431184953,0.2939318632726172,0.19872905960468934,0.12394796341386316,0.06496629043283365,0.021807295878612763,2.0337032384763776e-16,144,168,168
12,0.0014850785510444368,0.0014850785510444368,1,0.3564838171005249,0.01595193568612077,448,0.727710843373494,0.507344547208331,0.4011424670537196,0.30511813266265053,0.21499105527583023,0.13007050113756646,0.05234855878288839,1.754365173131367e-16,48,96,144
