variant,stored_entries_layer,neighbors_read_per_route,address,aggregate_mean_cosine,aggregate_p05_cosine,expert_mean_cosine,projected_bfloat16_all_layers_gib,projected_bfloat16_response_mebibytes_per_token,projected_bfloat16_address_scan_mebibytes_per_token
mean,896,1,none,0.6184498425874896,0.2331036086972297,0.3982282876968384,0.55029296875,10.0625,0.0
exemplar_k001_n01,896,1,latent_cosine,0.43006112887250497,0.08522654971400144,0.1808493584394455,1.1005859375,10.0625,10.0625
exemplar_k004_n01,3581,1,latent_cosine,0.5074465980327627,0.1128440769419773,0.24894259870052338,4.398658752441406,10.0625,40.21630859375
exemplar_k004_n04,3581,4,latent_cosine,0.5549009845698432,0.14281771901036663,0.28784283995628357,4.398658752441406,40.25,40.21630859375
exemplar_k016_n01,14304,1,latent_cosine,0.5875795489685003,0.12381133810187592,0.34067201614379883,17.570068359375,10.0625,160.64062499999997
exemplar_k016_n04,14304,4,latent_cosine,0.6353201364674427,0.17551913322164941,0.38506248593330383,17.570068359375,40.25,160.64062499999997
exemplar_k016_n16,14304,16,latent_cosine,0.6511161818265382,0.20081073791539028,0.4064745306968689,17.570068359375,161.0,160.64062499999997
exemplar_k064_n01,54989,1,latent_cosine,0.6587566403336731,0.16234783078394596,0.43317359685897827,67.5447769165039,10.0625,617.55224609375
exemplar_k064_n04,54989,4,latent_cosine,0.7003160438705123,0.21940306345450186,0.479086309671402,67.5447769165039,40.25,617.55224609375
exemplar_k064_n16,54989,16,latent_cosine,0.7152082099267095,0.2460918888842704,0.5004772543907166,67.5447769165039,161.0,617.55224609375
exemplar_kall_n01,131200,1,latent_cosine,0.7011339661870105,0.16385063893231733,0.49489501118659973,161.1572265625,10.0625,1473.4375
exemplar_kall_n04,131200,4,latent_cosine,0.7387463349999914,0.2151616719320396,0.5394132733345032,161.1572265625,40.25,1473.4375
exemplar_kall_n16,131200,16,latent_cosine,0.7528078278085215,0.25005820235658593,0.5595831274986267,161.1572265625,161.0,1473.4375
oracle_output_k064_n01,54989,1,output_cosine_oracle,0.6977901882262315,0.2555916736445635,0.4652007520198822,67.5447769165039,10.0625,617.55224609375
oracle_output_k064_n04,54989,4,output_cosine_oracle,0.7351818734156845,0.3162774710893418,0.5187467932701111,67.5447769165039,40.25,617.55224609375
oracle_output_k064_n16,54989,16,output_cosine_oracle,0.7451047196077407,0.33580721525734303,0.5425352454185486,67.5447769165039,161.0,617.55224609375
oracle_output_kall_n01,131200,1,output_cosine_oracle,0.7391142442042598,0.2953712562806747,0.5254849791526794,161.1572265625,10.0625,1473.4375
oracle_output_kall_n04,131200,4,output_cosine_oracle,0.7719444824497471,0.34722903755951534,0.5763540863990784,161.1572265625,40.25,1473.4375
oracle_output_kall_n16,131200,16,output_cosine_oracle,0.781159570185574,0.36406075272562344,0.5988969206809998,161.1572265625,161.0,1473.4375
