method,exact_routes,exact_fraction,mean_cosine,p05_cosine,p01_cosine,projected_exact_expert_gib_per_token
router_zero_tail,0,0.0,0.0,0.0,0.0,0.0
router_zero_tail,1,0.0625,0.6873195712747068,0.4173770549838406,0.3314933655407278,0.55275
router_zero_tail,2,0.125,0.8120794618143302,0.5909940445376011,0.5123088921938413,1.1055
router_zero_tail,4,0.25,0.9016596574939717,0.7601156165074943,0.6849081848516569,2.211
router_zero_tail,8,0.5,0.9593519472931762,0.8897028964365614,0.8513775274824046,4.422
router_zero_tail,12,0.75,0.9846232968457116,0.9575526606305119,0.9383492941648331,6.632999999999999
router_zero_tail,15,0.9375,0.996772611047832,0.9902934767590647,0.9834689119965172,8.29125
router_zero_tail,16,1.0,1.0000000003245038,0.9999998830803306,0.9999998424319134,8.844
expected_norm_zero_tail,0,0.0,0.0,0.0,0.0,0.0
expected_norm_zero_tail,1,0.0625,0.7007192127338833,0.45153999615383944,0.33633334759493994,0.55275
expected_norm_zero_tail,2,0.125,0.8209706692656109,0.6146544834183275,0.5200689646880484,1.1055
expected_norm_zero_tail,4,0.25,0.908251550468974,0.7761979038374082,0.7116180839363961,2.211
expected_norm_zero_tail,8,0.5,0.9651080287980929,0.9063319576297248,0.8734450150305262,4.422
expected_norm_zero_tail,12,0.75,0.9884173824763217,0.9670111681670185,0.9523190919691039,6.632999999999999
expected_norm_zero_tail,15,0.9375,0.9978967860738658,0.9937736414322238,0.9899806026056412,8.29125
expected_norm_zero_tail,16,1.0,1.0000000007951708,0.9999998846499798,0.9999998489639478,8.844
oracle_norm_zero_tail,0,0.0,0.0,0.0,0.0,0.0
oracle_norm_zero_tail,1,0.0625,0.7249148256816706,0.5034320559162765,0.43456988352301756,0.55275
oracle_norm_zero_tail,2,0.125,0.8352132968678029,0.6490832669205491,0.5858872226522477,1.1055
oracle_norm_zero_tail,4,0.25,0.9156550906052563,0.795755766963294,0.741356619667537,2.211
oracle_norm_zero_tail,8,0.5,0.9688594994729431,0.9162190661248685,0.8869999191318788,4.422
oracle_norm_zero_tail,12,0.75,0.989868935994679,0.9710021479227139,0.959808886573528,6.632999999999999
oracle_norm_zero_tail,15,0.9375,0.9981667087919646,0.9945437718706891,0.9920177386165884,8.29125
oracle_norm_zero_tail,16,1.0,1.0000000006334357,0.999999883942807,0.9999998491468557,8.844
oracle_greedy_zero_tail,0,0.0,0.0,0.0,0.0,0.0
oracle_greedy_zero_tail,1,0.0625,0.7313645949805283,0.5149664246569128,0.4668436542769848,0.55275
oracle_greedy_zero_tail,2,0.125,0.8385858784996415,0.6592670485707509,0.6046544242962117,1.1055
oracle_greedy_zero_tail,4,0.25,0.9170302355002079,0.8012735047668919,0.7501842333144625,2.211
oracle_greedy_zero_tail,8,0.5,0.9691977917507392,0.9176041809322104,0.8916458830829166,4.422
oracle_greedy_zero_tail,12,0.75,0.9899163899026635,0.9710130121430847,0.9599800566073844,6.632999999999999
oracle_greedy_zero_tail,15,0.9375,0.9981675382690987,0.9945437745573144,0.9920177343304858,8.29125
oracle_greedy_zero_tail,16,1.0,1.0000000008540766,0.9999998849237766,0.9999998470560367,8.844
router_mean_tail,0,0.0,0.6184498423454041,0.23310360864295934,0.10424051396133258,0.0
router_mean_tail,1,0.0625,0.8479114219857696,0.7004602884522824,0.6095094690101177,0.55275
router_mean_tail,2,0.125,0.9035865507751487,0.8023416766381167,0.7398449285301979,1.1055
router_mean_tail,4,0.25,0.943239283241252,0.86576108176233,0.8176078491452878,2.211
router_mean_tail,8,0.5,0.9715179877507938,0.9244097224574852,0.8875508764038654,4.422
router_mean_tail,12,0.75,0.9873529329833131,0.9652992836246064,0.9456415196494844,6.632999999999999
router_mean_tail,15,0.9375,0.9969677859533003,0.9904340269987252,0.9816479037110054,8.29125
router_mean_tail,16,1.0,0.9999999996501429,0.9999998851484697,0.999999849931606,8.844
expected_norm_mean_tail,0,0.0,0.6184498423454041,0.23310360864295934,0.10424051396133258,0.0
expected_norm_mean_tail,1,0.0625,0.8500712585831066,0.7056732577331513,0.6169919671027795,0.55275
expected_norm_mean_tail,2,0.125,0.9056509097745581,0.8051655625874062,0.7428195795225345,1.1055
expected_norm_mean_tail,4,0.25,0.9464602804244862,0.8731427195594401,0.8308249203945312,2.211
expected_norm_mean_tail,8,0.5,0.9758283052586639,0.9368453171390967,0.9134360678471607,4.422
expected_norm_mean_tail,12,0.75,0.9907471394626735,0.9736574523556082,0.9619076574093158,6.632999999999999
expected_norm_mean_tail,15,0.9375,0.998154352116855,0.9945432144565101,0.9913853001457986,8.29125
expected_norm_mean_tail,16,1.0,1.000000000495607,0.9999998860160356,0.9999998485926295,8.844
oracle_norm_mean_tail,0,0.0,0.6184498423454041,0.23310360864295934,0.10424051396133258,0.0
oracle_norm_mean_tail,1,0.0625,0.8610979649918079,0.7501633326847486,0.696490633821141,0.55275
oracle_norm_mean_tail,2,0.125,0.9124575044577988,0.8273097675121514,0.783169253633394,1.1055
oracle_norm_mean_tail,4,0.25,0.9496223328669406,0.8821969789183343,0.850167229416512,2.211
oracle_norm_mean_tail,8,0.5,0.9772051131255954,0.9403467923012351,0.9137278689475048,4.422
oracle_norm_mean_tail,12,0.75,0.9914410971384722,0.9752421490825567,0.9654953061193203,6.632999999999999
oracle_norm_mean_tail,15,0.9375,0.9982736621692414,0.9950200815402527,0.992271221328309,8.29125
oracle_norm_mean_tail,16,1.0,1.0000000011183605,0.9999998909142561,0.9999998493090306,8.844
oracle_greedy_mean_tail,0,0.0,0.6184498424606464,0.23310360753151982,0.10424051461031507,0.0
oracle_greedy_mean_tail,1,0.0625,0.8624514454728011,0.750478422098281,0.6990699487294145,0.55275
oracle_greedy_mean_tail,2,0.125,0.9135558120885547,0.8283202212718271,0.7822316270908873,1.1055
oracle_greedy_mean_tail,4,0.25,0.9507889428023754,0.8843474896832436,0.8520420746754023,2.211
oracle_greedy_mean_tail,8,0.5,0.9781662553796289,0.9419154070659644,0.9215875894515873,4.422
oracle_greedy_mean_tail,12,0.75,0.9918121147884211,0.9769545251175187,0.9672767176550517,6.632999999999999
oracle_greedy_mean_tail,15,0.9375,0.9983722150663271,0.9952675095431717,0.9930372462291372,8.29125
oracle_greedy_mean_tail,16,1.0,1.000000001238829,0.99999988705553,0.9999998492941553,8.844
